"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","posterior_class_4","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
40,4,9.52210076632694e-13,3.82710557005836e-20,0.00740858393816621,0.992591416060882,"Danielle King","Rice University",2018,0,8,1,5.125
60,4,0.0015606112977586,0,1.74019563300572e-21,0.998439388702241,"Deborah E. Rupp","George Mason University",2002,0,24,2,9.91666666666667
22,4,1.16417653234859e-08,2.77791171047686e-18,0.0320637697046754,0.967936218653559,"Denise Reyes","University of Houston",2021,0,5,0,5.2
106,4,1.32581626676684e-10,4.82781628614571e-14,0.413095003729905,0.586904996137465,"Dia Chatterjee","CUNY Graduate Center",2022,0,4,0,2.75
80,4,1.64863113434622e-16,4.46462542632713e-21,0.00529717828414163,0.994702821715858,"Don Zhang","Louisiana State University",2016,0,10,1,4.8
33,4,1.45907109711184e-08,3.94802342698834e-22,0.000174655553103798,0.999825329856185,"Franki Y. H. Kung","Purdue University",2018,0,8,1,6.875
45,4,1.16256457054031e-27,0,4.3687938975977e-17,1,"Fritz Drasgow","University of Illinois Urbana-Champaign",1982,0,40,2,7.325
88,4,1.90417616084497e-12,1.15087011669192e-16,0.0222518086060449,0.977748191392051,"Gargi Sawhney","Auburn University",2019,0,7,1,4.71428571428571
82,4,3.77044001142751e-05,1.94698181732243e-17,0.0609905698859104,0.938971725713975,"Haley Cobb","Louisiana State University",2023,0,3,0,6
47,4,1.14258047165527e-13,2.07998418755643e-19,0.0160314951786638,0.983968504821222,"Hanyi Haylee Min","University of Illinois Urbana-Champaign",2018,0,8,0,4.75
20,4,8.22801685431586e-19,1.43613794900725e-21,0.0489757583647648,0.951024241635235,"Isaac Sabat","University of Houston",2016,0,10,1,4
62,4,3.76104514974139e-26,0,5.13225946815989e-07,0.999999486774053,"James LeBreton","Pennsylvania State University",2002,0,24,2,5.875
52,4,5.40851817423403e-11,1.28571459409293e-17,0.0400662271818205,0.959933772764094,"Jeffrey Olenick","University of Georgia",2020,0,6,0,4.66666666666667
118,4,4.09058431871735e-05,5.50973699132585e-18,0.0634371685064441,0.936521925650369,"Jenna Van Fossen","Clemson University",2023,0,3,0,6
87,4,2.62287851451538e-35,0,0.1605243815771,0.8394756184229,"Jinyan Fan","Auburn University",2004,0,22,2,4.04545454545455
98,4,1.12044692546838e-15,3.60567025674316e-13,0.21970708156113,0.780292918438508,"Josh Prasad","Colorado State University",2019,0,7,0,3.28571428571429
21,4,4.32461209227269e-06,7.73085837573949e-17,0.125095063016452,0.874900612371456,"Kaylee Litson","University of Houston",2023,0,3,0,5
96,4,2.32057923569864e-11,1.71576278725385e-15,0.00676866323844421,0.993231336738348,"Keaton Fletcher","Colorado State University",2019,0,7,0,5.28571428571429
8,4,5.20270521500178e-33,0,2.51707223619022e-52,1,"Kevin Ford","Michigan State University",1983,0,43,2,10.2093023255814
9,4,7.06396091858245e-12,1.84332224870104e-16,0.0126622850519414,0.987337714940994,"Kevin Hoff","Michigan State University",2019,0,7,0,5
85,4,3.99749309672363e-38,0,5.18349840475775e-15,0.999999999999995,"Kevin Williams","University at Albany, SUNY",1984,0,42,2,6.69047619047619
58,4,1.11665053997913e-22,2.85426711260342e-29,0.345076913279511,0.654923086720489,"Lauren E. Kuykendall","George Mason University",2015,0,11,1,3.27272727272727
92,4,0.000119957372728351,1.21789548405186e-21,0.0083666002368378,0.991513442390434,"Louis Hickman","Virginia Tech",2022,0,4,0,7.25
46,4,2.50446917894263e-43,0,0.0926362312637359,0.907363768736264,"Louise Fitzgerald","University of Illinois Urbana-Champaign",1982,0,27,2,4.07407407407407
50,4,6.0156185290754e-20,1.98588805599728e-93,2.57068076308356e-05,0.999974293192369,"Malissa Clark","University of Georgia",2010,0,16,2,5.6875
37,4,2.04944760474626e-26,2.63085987872325e-288,2.11755903773613e-07,0.999999788244096,"Margaret Beier","Rice University",2004,0,22,2,5.81818181818182
121,4,2.76097521761794e-17,8.01069118545225e-53,0.000423502903337283,0.999576497096663,"Marissa Shuffler","Clemson University",2013,0,13,2,5.46153846153846
38,4,3.58758277553527e-49,0,0.00913182738339386,0.990868172616606,"Mikki Hebl","Rice University",1998,0,28,2,3.92857142857143
15,4,3.09264407484609e-37,0,0.0186403985316249,0.981359601468375,"Mindy Bergman","Texas A&M University",2001,0,25,2,4.4
2,4,5.15971281879821e-14,5.08497219490424e-255,5.06981273071975e-11,0.99999999994925,"Nathan Bowling","University of Central Florida",2005,0,21,2,7.52380952380952
6,4,1.33679191324707e-15,6.91082258968167e-85,1.16166795010746e-07,0.999999883833204,"Nathan T. Carter","Michigan State University",2010,0,16,2,6.75
90,4,1.81192911658437e-06,1.08427851905599e-15,0.147451605924154,0.852546582146729,"Paige Watson","Auburn University",2023,0,3,0,4.66666666666667
120,4,5.01627564498691e-28,2.36669157728734e-153,3.24159818852459e-05,0.999967584018115,"Patrick Rosopa","Clemson University",2007,0,19,2,5.05263157894737
56,4,1.00887374675078e-27,0,6.12918120973946e-06,0.99999387081879,"Reeshad S. Dalal","George Mason University",2003,0,23,2,5.52173913043478
122,4,2.71514815978984e-24,0,1.2047546955864e-11,0.999999999987952,"Robert R. Sinclair","Clemson University",2000,0,26,2,6.76923076923077
36,4,4.4089591271376e-19,9.9631239292721e-72,5.22219356143195e-07,0.999999477780644,"Sang Eun Woo","Purdue University",2010,0,16,2,6.1875
61,4,4.33041484483658e-17,2.28125614388155e-12,0.133539419405726,0.866460580591993,"Sarah Wittman","George Mason University",2018,0,8,0,3.5
57,4,2.22962336380952e-24,4.69948191842972e-216,8.16486574377574e-06,0.999991835134256,"Seth Kaplan","George Mason University",2006,0,20,2,5.6
113,4,3.84752202345382e-19,0,3.91838096153129e-14,0.999999999999961,"Shane Connelly","University of Oklahoma",2001,0,25,2,7.52
17,4,6.3151773403808e-27,0,3.04753865949815e-09,0.999999996952461,"Stephanie C. Payne","Texas A&M University",2000,0,26,2,6.23076923076923
31,4,6.06550084325489e-31,0,6.80809187569229e-05,0.999931919081243,"Stephen Stark","University of South Florida",2002,0,24,2,5.16666666666667
59,4,2.77435481099739e-10,9.93421581162541e-14,0.342866511506958,0.657133488215507,"Yijue Liang","George Mason University",2022,0,4,0,3
51,4,0.000194674540156858,2.62869566352236e-19,0.041152763378679,0.958652562081164,"Yimin He","University of Georgia",2023,0,3,0,6.66666666666667
123,4,7.77677321716736e-13,4.13052115366848e-23,0.00170403753828388,0.998295962460939,"Yisheng Peng","George Washington University",2017,0,9,1,5.55555555555556
18,4,2.68723871551796e-11,1.1266533017098e-14,0.188903378446144,0.811096621526972,"Ze (Mia) Zhu","Texas A&M University",2021,0,5,0,3.6
